2024-06-04 00:12:53,785 WARN  SumoGuiAmbassador - The file scenarios/5thAvenue/sumo/sumo_config.json does not exist.
2024-06-04 00:12:53,786 INFO  SumoGuiAmbassador - sumoConfig.updateInterval: 1000
2024-06-04 00:12:53,787 INFO  SumoGuiAmbassador - sumoConfig.sumoConfigurationFile: null
2024-06-04 00:12:53,790 INFO  SumoGuiAmbassador - Found a SUMO configuration file: scenarios/5thAvenue/sumo/5thAvenue.sumocfg
2024-06-04 00:12:53,791 INFO  SumoGuiAmbassador - sumoConfig.sumoConfigurationFile: 5thAvenue.sumocfg
2024-06-04 00:12:53,803 INFO  SumoGuiAmbassador - Simulation step size is 1.0 sec.
2024-06-04 00:12:54,996 INFO  SumoVehicleTypesWriter - ./tmp/sumo/mosaic_types.add.xml file successfully written.
2024-06-04 00:12:54,996 INFO  SumoGuiAmbassador - Start Federate local
2024-06-04 00:12:54,996 INFO  SumoGuiAmbassador - Directory: ./tmp/sumo
2024-06-04 00:12:55,019 WARN  SumoGuiAmbassador - Error while connecting to SUMO. Retrying.
2024-06-04 00:12:56,026 INFO  SumoGuiAmbassador - Process sumo: Loading configuration ... done.
2024-06-04 00:13:01,787 WARN  TraciClientBridge - This TraCI API version 21 is currently not supported (but might work anyhow).
2024-06-04 00:13:01,795 INFO  SumoGuiAmbassador - Current API version of SUMO is 20 (=SUMO 1.18.*)
2024-06-04 00:13:01,993 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_0" received at simulation time 0 ns (subscribe=true)
2024-06-04 00:13:01,993 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_1" received at simulation time 0 ns (subscribe=true)
2024-06-04 00:13:01,993 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_2" received at simulation time 0 ns (subscribe=true)
2024-06-04 00:13:01,993 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_3" received at simulation time 0 ns (subscribe=true)
2024-06-04 00:13:02,005 INFO  SumoGuiAmbassador - Adding new vehicle "veh_0" at simulation time 0 ns (type=TrafficLightCarRed, routeId=1, laneId=0, departPos=0.00)
2024-06-04 00:13:02,007 INFO  SumoGuiAmbassador - Adding new vehicle "veh_1" at simulation time 0 ns (type=TrafficLightCarGreen, routeId=3, laneId=0, departPos=0.00)
2024-06-04 00:13:02,008 INFO  SumoGuiAmbassador - Adding new vehicle "veh_2" at simulation time 0 ns (type=TrafficLightCarBlue, routeId=5, laneId=0, departPos=0.00)
2024-06-04 00:13:02,009 INFO  SumoGuiAmbassador - Adding new vehicle "veh_3" at simulation time 0 ns (type=TrafficLightCarYellow, routeId=5, laneId=0, departPos=0.00)
2024-06-04 00:13:02,133 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_4" received at simulation time 6000000000 ns (subscribe=true)
2024-06-04 00:13:02,133 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_5" received at simulation time 6000000000 ns (subscribe=true)
2024-06-04 00:13:02,133 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_6" received at simulation time 6000000000 ns (subscribe=true)
2024-06-04 00:13:02,133 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_7" received at simulation time 6000000000 ns (subscribe=true)
2024-06-04 00:13:02,161 INFO  SumoGuiAmbassador - Adding new vehicle "veh_4" at simulation time 6000000000 ns (type=TrafficLightCarRed, routeId=1, laneId=0, departPos=0.00)
2024-06-04 00:13:02,161 INFO  SumoGuiAmbassador - Adding new vehicle "veh_5" at simulation time 6000000000 ns (type=TrafficLightCarGreen, routeId=3, laneId=0, departPos=0.00)
2024-06-04 00:13:02,162 INFO  SumoGuiAmbassador - Adding new vehicle "veh_6" at simulation time 6000000000 ns (type=TrafficLightCarBlue, routeId=5, laneId=0, departPos=0.00)
2024-06-04 00:13:02,162 INFO  SumoGuiAmbassador - Adding new vehicle "veh_7" at simulation time 6000000000 ns (type=TrafficLightCarYellow, routeId=5, laneId=0, departPos=0.00)
